RBD,ESTABLECIMIENTO,COMUNA,AREA,PRUEBA,NIVEL,PUNTAJE
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,MATEMÁTICAS,1B,0
6374,ESCUELA BASICA RURAL FLOR DEL VALLE,TOLTÉN,RURAL,MATEMÁTICAS,3B,0
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,LENGUAJE,2B,579
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,LENGUAJE,3B,608
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,LENGUAJE,1B,624
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,2B,557
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,1B,585
6397,LICEO MUNICIPAL BARROS ARANA,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,3B,597
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,LENGUAJE,2B,527
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,LENGUAJE,1B,532
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,LENGUAJE,3B,536
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,1B,520
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,2B,523
6398,ESCUELA NUEVA ALBORADA,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,3B,530
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,LENGUAJE,1B,598
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,LENGUAJE,3B,603
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,LENGUAJE,2B,607
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,1B,586
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,2B,598
6399,ESCUELA HORIZONTES,TEODORO SCHMIDT,URBANO,MATEMÁTICAS,3B,614
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,LENGUAJE,3B,543
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,LENGUAJE,2B,547
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,LENGUAJE,1B,592
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,3B,504
6400,ESCUELA ISLA LLICAN,TEODORO SCHMIDT,RURAL,MATEMÁTICAS,1B,521
