RBD,ESTAB,COMUNA,AREA,NIVEL,SECTOR,EJE,VALOR
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.35
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.6
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.42
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,URBANO,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.64
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.63
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6458,ESCUELA BASICA CALOF,SAAVEDRA,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.56
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,1° Básico,LENGUAJE,INFORMACION EXPLICITA,1
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.53
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,3° Básico,LENGUAJE,INFORMACION EXPLICITA,0.44
6495,ESCUELA RUCA RAQUI,SAAVEDRA,RURAL,4° Básico,LENGUAJE,INFORMACION EXPLICITA,0.44
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,1° Básico,LENGUAJE,INFORMACION EXPLICITA,0.78
6499,ROMILIO ADRIAZOLA,CARAHUE,URBANO,2° Básico,LENGUAJE,INFORMACION EXPLICITA,0.83
