RBD,ESTABLECIMIENTO,COMUNA,SECTOR,NIVEL,PUNTAJE
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Lenguaje,3° Básico,558
6455,ESCUELA BASICA BARTOLO LLANCALEO,SAAVEDRA,Lenguaje,4° Básico,535
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Lenguaje,1° Básico,515
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Lenguaje,2° Básico,534
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Lenguaje,3° Básico,491
6457,ESC. BASICA AUGUSTO WINTER TAPIA,SAAVEDRA,Lenguaje,4° Básico,569
6458,ESCUELA BASICA CALOF,SAAVEDRA,Lenguaje,1° Básico,
6458,ESCUELA BASICA CALOF,SAAVEDRA,Lenguaje,2° Básico,516
6458,ESCUELA BASICA CALOF,SAAVEDRA,Lenguaje,3° Básico,544
6458,ESCUELA BASICA CALOF,SAAVEDRA,Lenguaje,4° Básico,542
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Lenguaje,1° Básico,594
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Lenguaje,2° Básico,508
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Lenguaje,3° Básico,524
6495,ESCUELA RUCA RAQUI,SAAVEDRA,Lenguaje,4° Básico,534
6499,ROMILIO ADRIAZOLA,CARAHUE,Lenguaje,1° Básico,557
6499,ROMILIO ADRIAZOLA,CARAHUE,Lenguaje,2° Básico,610
6499,ROMILIO ADRIAZOLA,CARAHUE,Lenguaje,3° Básico,603
6499,ROMILIO ADRIAZOLA,CARAHUE,Lenguaje,4° Básico,579
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Lenguaje,1° Básico,579
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Lenguaje,2° Básico,595
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Lenguaje,3° Básico,603
6500,ESCUELA DARIO SALAS DIAZ,CARAHUE,Lenguaje,4° Básico,582
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Lenguaje,1° Básico,580
6501,ESCUELA BASICA KIM RUKA,CARAHUE,Lenguaje,2° Básico,581
